precio,titulo_anuncio,tipo_alojamineto,n_personas,n_dormitorios,n_camas,n_banos,valoracion,n_evaluaciones,comunidad,url
95.0,Casa Eulogia,casa,8.0,3.0,5.0,1.0,4.99,69.0,islas_canarias,https://www.airbnb.es/rooms/39001698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691172362_S%2B7KWS7c00RGD%2B%2Fw&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
50.0,Caracola,piso,4.0,2.0,4.0,1.0,4.36,33.0,islas_canarias,https://www.airbnb.es/rooms/36503661?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691172398_DDsvLY647Ja9HMRf&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
79.0,~Finca Corona,piso,2.0,1.0,1.0,1.0,4.94,16.0,islas_canarias,https://www.airbnb.es/rooms/779833689599725634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691172351_zFdVF3cbICFG8eXF&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
55.0,"Casa El Pozo ""la Casa del Fin Del Mundo""",piso,2.0,1.0,1.0,1.0,4.81,67.0,islas_canarias,https://www.airbnb.es/rooms/43763311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-28&check_out=2023-10-04&source_impression_id=p3_1691172358_eYT65a16947IJHRO&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
46.0,Leonidas ( Wifi - Netflix -Ozono+UV ),piso,2.0,1.0,1.0,1.0,4.96,216.0,islas_canarias,https://www.airbnb.es/rooms/22873993?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-20&check_out=2023-12-25&source_impression_id=p3_1691172386_LaHMKo8y%2FyX1wEWf&previous_page_section_name=1000&federated_search_id=026fff14-55a2-4f8c-a7d2-3faeed006dd7
18.0,Loft Madre del agua,piso,2.0,1.0,1.0,1.0,4.2,30.0,islas_canarias,https://www.airbnb.es/rooms/745748165728837998?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691172362_Cwxq56Ta4hiTkxg0&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
60.0,Casa Lydia,casa,2.0,1.0,1.0,1.0,4.65,472.0,islas_canarias,https://www.airbnb.es/rooms/2025849?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691172355_RjNQGUXDuuT9bWSw&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
35.0,Cliff House Gran Canaria,piso,2.0,1.0,1.0,1.0,4.91,210.0,islas_canarias,https://www.airbnb.es/rooms/8481120?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1691172398_jdjzXwvreCWtm%2BTv&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
33.0,Apartamento de un dormitorio en Tazacorte,piso,4.0,1.0,2.0,1.0,4.64,61.0,islas_canarias,https://www.airbnb.es/rooms/53198919?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691172351_oMLoe6TvsIDczTUA&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
28.0,Estudio en San Andrés.Playa de Las Teresitas/Anaga,piso,2.0,1.0,2.0,1.0,4.51,89.0,islas_canarias,https://www.airbnb.es/rooms/48152810?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1691172374_dbbUVnq5ehVfh%2Bmt&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
52.0,"Casa encantadora, cálida y acogedora",piso,4.0,2.0,3.0,1.0,4.84,228.0,islas_canarias,https://www.airbnb.es/rooms/5430443?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-15&source_impression_id=p3_1691172366_yESXLSARhJi%2BiyyU&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
46.0,Leonidas ( Wifi - Netflix -Ozono+UV ),piso,2.0,1.0,1.0,1.0,4.96,216.0,islas_canarias,https://www.airbnb.es/rooms/22873993?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-20&check_out=2023-12-25&source_impression_id=p3_1691172382_Ic9N9nz9azFLCspH&previous_page_section_name=1000&federated_search_id=937af752-de63-420e-b876-b05ea5a3c988
50.0,Casita Pedro González,casa,2.0,1.0,1.0,1.0,4.96,45.0,islas_canarias,https://www.airbnb.es/rooms/39131746?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691172398_xN5q4Vk%2Fp6N4XRZt&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
45.0,Apartamento Puerto Tazacorte en 1ª línea de playa,piso,3.0,1.0,4.0,1.0,4.75,111.0,islas_canarias,https://www.airbnb.es/rooms/15355688?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-02&source_impression_id=p3_1691172355_f%2FImEvh4VaMFe1a6&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
52.0,"Dinamic people, terrace, amazing beach,súper views",piso,4.0,1.0,3.0,1.0,4.88,432.0,islas_canarias,https://www.airbnb.es/rooms/10778172?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691172355_QnfKIU0d63C5IK48&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
35.0,Romántico apartamento,piso,2.0,1.0,1.0,1.0,5.0,6.0,islas_canarias,https://www.airbnb.es/rooms/865606607781574248?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691172362_%2FD5YWg90QWOKvyl6&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
80.0,CASA EN RESERVA NATURAL,piso,5.0,1.0,1.0,1.0,4.87,217.0,islas_canarias,https://www.airbnb.es/rooms/701688?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691172394_HDuvA2ZbpWgoxmpf&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
28.0,Retiro para caminantes en Cruz De Tea.,piso,4.0,1.0,2.0,1.0,4.78,423.0,islas_canarias,https://www.airbnb.es/rooms/17527228?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-13&check_out=2023-09-18&source_impression_id=p3_1691172355_NfrjJSKf6PQo%2FshO&previous_page_section_name=1000&federated_search_id=eaecb95d-6fb2-45c3-9287-4bd389bef91d
38.0,Apartamento reformado en casa canaria.,piso,2.0,1.0,1.0,1.0,4.87,141.0,islas_canarias,https://www.airbnb.es/rooms/50113768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691172379_wqi%2BKKSJmcJ58QX3&previous_page_section_name=1000&federated_search_id=08eb49d2-f817-47c1-acfd-9cf57f0c3b32
