,precio,valoracion,n_evaluaciones,comunidad,url,titulo_anuncio,numero_personas,n_dormitorios,numero_camas,numero_banos
0,16€,"4,89",18,murcia,https://www.airbnb.es/rooms/29154549?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086275_dKNDB9iMlqH7yxqo&previous_page_section_name=1000&federated_search_id=6389c3ed-da14-4312-8b4b-9037ed76ef63,,,,,
1,63€,"3,0",3,ceuta,https://www.airbnb.es/rooms/679080437479771000?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-25&source_impression_id=p3_1691086509_tl%2FXCpyDKqdtIs3i&previous_page_section_name=1000&federated_search_id=057217bf-ed44-4be3-b4c8-3e414d58f9cd,Alojamiento (vivienda vacacional). Anfitrión: Ibrahim,2 viajeros,1 dormitorio,3 camas,1 baño compartido
2,,"4,79",114,murcia,https://www.airbnb.es/rooms/6921393?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-13&source_impression_id=p3_1691086299_yA%2FKyz%2FzpQE3AStw&previous_page_section_name=1000&federated_search_id=8d52f324-da10-4646-bcdc-488b72f6ee00,Alojamiento entero: piso. Anfitrión: Antonio,4 viajeros,1 dormitorio,2 camas,1 baño
3,,"5,0",4,baleares,https://www.airbnb.es/rooms/846303469986592439?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086665_muMFDVbr2MpF0%2F7H&previous_page_section_name=1000&federated_search_id=46231895-ddc5-409d-ac67-51cc9d473d85,,,,,
4,,,,cantabria,https://www.airbnb.es/rooms/926714518277305209?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-18&source_impression_id=p3_1691085571_S7lMfBPj1wKCffzo&previous_page_section_name=1000&federated_search_id=112093d5-b155-4188-a9b5-e4961ca9e712,,,,,
5,65€,"4,95",20,castilla_la_mancha,https://www.airbnb.es/rooms/627578908161517018?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691086248_AAwWhkP37y%2FjCRVe&previous_page_section_name=1000&federated_search_id=6f2fcb2c-fcb2-48cb-ba68-910bb71aa379,Granja. Anfitrión: Ana,5 viajeros,1 dormitorio,3 camas,"1,5 baños"
6,190€,"5,0",7,aragon,https://www.airbnb.es/rooms/613035034836267418?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085849_iSboz3O5WbihfCLo&previous_page_section_name=1000&federated_search_id=9e8bebd6-f01c-4788-ae07-7f837bb5f471,Alojamiento entero: suite con entrada independiente. Anfitrión: Julia,2 viajeros,1 dormitorio,1 cama,1 baño
7,50€,"4,91",56,baleares,https://www.airbnb.es/rooms/44737703?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-16&check_out=2023-09-21&source_impression_id=p3_1691086649_w3EGNnL%2FqFaMZO9o&previous_page_section_name=1000&federated_search_id=b1308137-9ad7-46c4-affa-cddb405cec45,,,,,
8,55€,"4,91",43,pais_vasco,https://www.airbnb.es/rooms/52622463?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-09-29&source_impression_id=p3_1691085643_F1GrNvZXS07ekWK2&previous_page_section_name=1000&federated_search_id=9b5510f0-c480-47ce-85f4-88831ad3a9d3,Alojamiento entero: piso. Anfitrión: Juan José,5 viajeros,3 dormitorios,3 camas,2 baños
9,65€,1,evaluación,melilla,https://www.airbnb.es/rooms/939937023209238282?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086578_HMrkE3TguU1OzZBY&previous_page_section_name=1000&federated_search_id=1b80f752-7b37-41c7-bb92-f77123ee1753,Alojamiento entero: piso. Anfitrión: Imad,5 viajeros,2 dormitorios,4 camas,1 baño
