,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,precio,titulo_anuncio,comunidad,url,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones
0,0.0,0.0,0.0,0.0,20€,Habitación privada en armonía y paz,andalucia,https://www.airbnb.es/rooms/813080914617701054?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691086460_y0%2Foung9QA14HQBj&previous_page_section_name=1000&federated_search_id=5327a49a-74a2-449c-9ae7-dcf7932bbb0a,,,,,,,
1,1.0,1.0,1.0,1.0,80€,Apartamento en Setcases,cataluña,https://www.airbnb.es/rooms/49632672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691085920_xz%2BceQEitxenE1yQ&previous_page_section_name=1000&federated_search_id=e00e7f7d-9e26-460f-8f35-419ad1c98ee5,piso,7 viajeros,2 dormitorios,5 camas,1 baño,"4,78",55
2,2.0,2.0,2.0,2.0,70€,Casa LA BOTICA Vallibona (junto a Morella),aragon,https://www.airbnb.es/rooms/24965719?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085845_RAFHO%2BcLHn%2FrixrD&previous_page_section_name=1000&federated_search_id=a2ff12aa-4480-4548-b869-965d44e44439,adosado,6 viajeros,2 dormitorios,3 camas,2 baños,"4,81",203
3,3.0,3.0,3.0,3.0,104€,Capela da Coenga,galicia,https://www.airbnb.es/rooms/584893109734459086?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1691085431_52o1qpa3VKRwx3gz&previous_page_section_name=1000&federated_search_id=e9600b70-d00b-4c0a-be3e-31f2ccd10f32,casa rural,4 viajeros,1 dormitorio,3 camas,1 baño,"4,87",39
4,4.0,4.0,4.0,4.0,30€,Agradable casa rural con aparcamiento gratuito,galicia,https://www.airbnb.es/rooms/650307733847709246?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691085435_h0mLFfJM6jOpzZiP&previous_page_section_name=1000&federated_search_id=0954f288-876f-4c03-a747-bbf0227fe003,,,,,,,
5,5.0,5.0,5.0,5.0,84€,Casa Tito,la_rioja,https://www.airbnb.es/rooms/934479383459914457?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085752_1%2B%2FIA123DRs6St3w&previous_page_section_name=1000&federated_search_id=1ba26053-784a-4178-b2ad-a01a6c971a28,piso,6 viajeros,2 dormitorios,4 camas,1 baño,"5,0",9
6,6.0,6.0,6.0,6.0,,,la_rioja,https://www.airbnb.es/rooms/579342931168043212?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-28&source_impression_id=p3_1691085766_Ew13gZo%2FgCP2gNBj&previous_page_section_name=1000&federated_search_id=24d89555-bc4f-4054-a78b-936ec0fbb1de,,,,,,,
7,7.0,7.0,7.0,7.0,110€,Escapada Rústica con piscina,castilla_y_leon,https://www.airbnb.es/rooms/800732047631400965?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1691086029_SaoQOYWwWtN7kGU0&previous_page_section_name=1000&federated_search_id=c6b611c9-94f0-4797-89a3-cbf8f10fa52b,vivienda,6 viajeros,2 dormitorios,4 camas,1 baño,"5,0",7
8,8.0,8.0,8.0,8.0,52€,Luminoso piso cerca de Valencia,valencia,https://www.airbnb.es/rooms/946308126461270134?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-04-01&check_out=2024-04-06&source_impression_id=p3_1691085367_UUkiiaXK061IN6kf&previous_page_section_name=1000&federated_search_id=715ecdc3-3511-4ce1-a16d-881ec9184d03,piso,2 viajeros,1 dormitorio,2 camas,2 baños,,
9,9.0,9.0,9.0,9.0,,,galicia,https://www.airbnb.es/rooms/937633993090648370?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-03&source_impression_id=p3_1691085410_n1C%2BhAkIKfd4%2FguU&previous_page_section_name=1000&federated_search_id=d3e16820-2866-4c03-bb5c-451b6a792443,,,,,,,
10,10.0,10.0,10.0,10.0,,,comunidad_valenciana,https://www.airbnb.es/rooms/946933581445291894?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691086126_XPknwcYzB2TsVG4K&previous_page_section_name=1000&federated_search_id=025e1cd6-c69d-4ac8-a6cc-892b43929da1,,,,,,,
11,11.0,11.0,11.0,11.0,,,baleares,https://www.airbnb.es/rooms/28071664?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-05&source_impression_id=p3_1691086640_yjqitVLL6NfQeuUs&previous_page_section_name=1000&federated_search_id=3bf09766-480f-4640-a923-7efd2ebe8cba,,,,,,,
12,12.0,12.0,12.0,12.0,,,valencia,https://www.airbnb.es/rooms/23362928?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691085337_kQQVD9o%2FriFm5t3W&previous_page_section_name=1000&federated_search_id=1b8a754b-9a72-48f7-a3cb-a98ba067e1f0,,,,,,,
13,13.0,13.0,13.0,13.0,60€,"Piso amplio, luminoso",castilla_y_leon,https://www.airbnb.es/rooms/23839558?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-18&check_out=2023-08-25&source_impression_id=p3_1691086013_9BPWk1Ew8REG51ny&previous_page_section_name=1000&federated_search_id=2c9de40c-ece7-478f-8309-ba675d3a77f2,piso,6 viajeros,3 dormitorios,5 camas,"1,5 baños","4,59",153
14,14.0,14.0,14.0,14.0,,,ceuta,https://www.airbnb.es/rooms/924642214240330734?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691086536_ranSngw7Yp30TO0C&previous_page_section_name=1000&federated_search_id=6c70dd28-a836-42c9-b0d4-58f6aeedb44d,,,,,,,
