,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,comunidad,url,valoracion,n_evaluaciones,precio
0,Agradable habitación en pueblo,Estela,2 viajeros,1 dormitorio,1 cama,Aseo,cantabria,https://www.airbnb.es/rooms/948598642227180938?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691085554_%2B5BTp32O%2Bo%2FwSSRE&previous_page_section_name=1000&federated_search_id=21d6a24f-0599-4dfb-9146-839f3932c377,,,
1,Crossing,Ion,2 viajeros,1 dormitorio,2 camas,1 baño compartido,navarra,https://www.airbnb.es/rooms/32055785?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-20&source_impression_id=p3_1691085703_6xiTrpCsKBiklVAO&previous_page_section_name=1000&federated_search_id=8ba610ee-e12b-4def-a2c0-2f1ceedda312,"4,67",162,55€
2,Super cama para estancias cortas,,,,,,valencia,https://www.airbnb.es/rooms/801282045281488762?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085354_Onto2KYrlTLYExyD&previous_page_section_name=1000&federated_search_id=dd8ce12e-78e0-4d89-875e-71889835fd73,,,
3,Naturaleza en estado puro II,piso,4 viajeros,2 dormitorios,4 camas,1 baño,pais_vasco,https://www.airbnb.es/rooms/22525379?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691085623_JRDyY68X21mdCpEo&previous_page_section_name=1000&federated_search_id=f145e382-508d-4b80-8445-d3e62666a539,"4,90",227,65€
4,Leticia Campos,piso,3 viajeros,2 dormitorios,2 camas,1 baño,pais_vasco,https://www.airbnb.es/rooms/24591538?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-09&check_out=2023-09-15&source_impression_id=p3_1691085676_rHFrUNilD%2BUdyB%2Fz&previous_page_section_name=1000&federated_search_id=56e8d30b-333b-4aaa-a513-bb629809d53d,"4,69",217,
5,Martil T2 #1: Hermoso departamento,piso,2 viajeros,1 dormitorio,1 cama,1 baño,ceuta,https://www.airbnb.es/rooms/648635977310524386?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691086544_S3uU5PmeFRN8m80u&previous_page_section_name=1000&federated_search_id=27aa5fbe-e719-4aa6-811d-79d5d0b04fb1,1,evaluación,46€
6,"Bonito apartamento , vista al mar zona tranquila",piso,4 viajeros,1 dormitorio,3 camas,1 baño,baleares,https://www.airbnb.es/rooms/10831330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-01&check_out=2023-11-06&source_impression_id=p3_1691086690_dJcz9BDZloCf2Zbv&previous_page_section_name=1000&federated_search_id=015017d3-97bd-41fb-8766-3e5ab3c8ccc2,"4,91",56,60€
7,"Apartamento en Ondarroa, BISTA EDER.",piso,4 viajeros,3 dormitorios,3 camas,2 baños,pais_vasco,https://www.airbnb.es/rooms/32974497?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-24&check_out=2023-10-01&source_impression_id=p3_1691085664_qW7IM4PbArRnpz0a&previous_page_section_name=1000&federated_search_id=0a63ffd2-16b3-46cf-b868-dc6e68a894be,"4,93",41,70€
8,El sueño de Manuel,suite con entrada independiente,2 viajeros,1 dormitorio,1 cama,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/15428910?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086017_9OrLxRE%2FiVixFR0o&previous_page_section_name=1000&federated_search_id=8a45eb79-1601-4fac-b762-d4a4b5548806,"4,84",304,62€
9,habitación individual,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/942596806551766500?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691086140_RUtLUvQZ60vrZqQB&previous_page_section_name=1000&federated_search_id=62f88a3c-3e45-4ef1-a781-d297556d3c5d,,,
