,precio,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,comunidad,url
0,95€,Casa Eulogia,casa rural,8 viajeros,3 dormitorios,5 camas,1 baño,"4,99",69,islas_canarias,https://www.airbnb.es/rooms/39001698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691172362_S%2B7KWS7c00RGD%2B%2Fw&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
1,17€,Piso compartido en Las Palmas,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/5951914?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691172366_zKbwS8OJUnkcEjJG&previous_page_section_name=1000&federated_search_id=6e0698c7-5b9e-4695-b71e-cd95ce4e5b50
2,50€,Caracola,piso,4 viajeros,2 dormitorios,4 camas,1 baño,"4,36",33,islas_canarias,https://www.airbnb.es/rooms/36503661?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691172398_DDsvLY647Ja9HMRf&previous_page_section_name=1000&federated_search_id=0740985b-f5f3-4f50-9c16-8534c5ce5db7
3,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/654893739073119129?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691172394_OC2h%2F0Gd863Y0vTu&previous_page_section_name=1000&federated_search_id=efbb493d-9f9a-441e-b668-5008bc93ea7a
4,79€,~Finca Corona,vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,"4,94",16,islas_canarias,https://www.airbnb.es/rooms/779833689599725634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691172351_zFdVF3cbICFG8eXF&previous_page_section_name=1000&federated_search_id=b41b1263-25bb-414e-8718-5e7ad3703f1b
5,25€,Acogedora habitación.,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/591015628487695924?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-10&source_impression_id=p3_1691172374_iNlhJkBhaQVE93Bj&previous_page_section_name=1000&federated_search_id=47f69330-8442-4206-a461-efe689f4f278
6,55€,"Casa El Pozo ""la Casa del Fin Del Mundo""",vivienda,2 viajeros,1 dormitorio,1 cama,1 baño,"4,81",67,islas_canarias,https://www.airbnb.es/rooms/43763311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-28&check_out=2023-10-04&source_impression_id=p3_1691172358_eYT65a16947IJHRO&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
7,,,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/516352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1691172358_i1mEO%2BZac4Jrhr8K&previous_page_section_name=1000&federated_search_id=cdb69ca4-bae5-4c60-990f-031c5cedb3da
8,46€,Leonidas ( Wifi - Netflix -Ozono+UV ),Claire,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,96",216,islas_canarias,https://www.airbnb.es/rooms/22873993?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-20&check_out=2023-12-25&source_impression_id=p3_1691172386_LaHMKo8y%2FyX1wEWf&previous_page_section_name=1000&federated_search_id=026fff14-55a2-4f8c-a7d2-3faeed006dd7
9,18€,Loft Madre del agua,loft,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,20",30,islas_canarias,https://www.airbnb.es/rooms/745748165728837998?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691172362_Cwxq56Ta4hiTkxg0&previous_page_section_name=1000&federated_search_id=755fb4b2-48aa-4223-976d-9d90f42d859f
10,35€,Habitación muy céntrica en Playa Blanca,,,,,,,,islas_canarias,https://www.airbnb.es/rooms/21751996?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691172386_Y7y6utnlymRoynWq&previous_page_section_name=1000&federated_search_id=026fff14-55a2-4f8c-a7d2-3faeed006dd7
