Unnamed: 0,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
2.0,Habitación cómoda y bien ubicada,,,,,,,,,madrid,https://www.airbnb.es/rooms/12288034?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086069_AaFQP8pLnGURLEty&previous_page_section_name=1000&federated_search_id=b11f96f9-d72b-4e62-ab5c-9f7f56efde45
5.0,Terraza luminosa y tranquila,,,,,,,,,madrid,https://www.airbnb.es/rooms/897309732133927735?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086102_LrOB%2BzNB9uO1S8E6&previous_page_section_name=1000&federated_search_id=bc7f9b21-13bf-489c-85b4-148ad3231254
7.0,Habitación privada individual Alameda de Osuna,,,,,,,,,madrid,https://www.airbnb.es/rooms/52735095?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691086056_6NTE7pzIeqLkEwY7&previous_page_section_name=1000&federated_search_id=7271927e-f2e8-462d-bf04-a7a8fb362da9
12.0,Acogedora habitación privada en Valldemossa H1,,,,,,,,,baleares,https://www.airbnb.es/rooms/932003802117301052?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-30&check_out=2023-10-05&source_impression_id=p3_1691086678_8wemasxLXj2%2FR33B&previous_page_section_name=1000&federated_search_id=ae9f73bc-5549-44a7-98be-ce3291469e81
14.0,Habitación luminosa zona centro asequible,,,,,,,,,murcia,https://www.airbnb.es/rooms/28200974?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086286_hDFp7IRGzO%2FeNtoW&previous_page_section_name=1000&federated_search_id=356d1efd-13b9-489c-96a9-033d9af97124
21.0,Habitación individual,,,,,,,,,pais_vasco,https://www.airbnb.es/rooms/925442325024401725?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085648_XEhHM3fDlmWYVMyU&previous_page_section_name=1000&federated_search_id=46d55eef-d725-44e5-8aaf-90aabf328381
25.0,Habitación en el Centro de A Cañiza,,,,,,,,,galicia,https://www.airbnb.es/rooms/20130034?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085431_hNlugBORHEwdqXCb&previous_page_section_name=1000&federated_search_id=e9600b70-d00b-4c0a-be3e-31f2ccd10f32
28.0,Céntrico 10 min playa.1,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/809427573208259296?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086173_zQjaGEHhOOUo0hqR&previous_page_section_name=1000&federated_search_id=ae0a102e-1015-41c0-9776-8a1a955aa239
29.0,Cómoda Habitación con Baño Privado al lado de UC3M,,,,,,,,,castilla_la_mancha,https://www.airbnb.es/rooms/913643765762248048?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086244_tHm430N2xx1Cm32m&previous_page_section_name=1000&federated_search_id=39cbfae6-f721-4263-a31e-4869c5a4f1f2
33.0,Habitación privada UCAM,,,,,,,,,murcia,https://www.airbnb.es/rooms/852598889761122037?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086303_gleLcr%2Fe583JYn1F&previous_page_section_name=1000&federated_search_id=5fa4b39f-2c59-4f96-bb64-6da22f242341
34.0,Habitación con baño privado interior en Alcàsser,,,,,,,,,valencia,https://www.airbnb.es/rooms/27499723?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-14&source_impression_id=p3_1691085345_iKBSopPRZAsj789Y&previous_page_section_name=1000&federated_search_id=4978ccc7-89ce-4d2a-ac7a-29ac90e91dbc
36.0,Lanjaron Lodge: cuarto 1 de 3 planta baja al lado de BRm.,,,,,,,,,andalucia,https://www.airbnb.es/rooms/33215951?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086465_72JV0Iq%2BiPsjFP1I&previous_page_section_name=1000&federated_search_id=169d9bbd-c634-402b-b9a1-333da7c9ec2d
37.0,Habitación independiente con baño ensuite,,,,,,,,,andalucia,https://www.airbnb.es/rooms/731720572716016346?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-27&check_out=2023-11-01&source_impression_id=p3_1691086440_u4HRoU8SNLMLR0yR&previous_page_section_name=1000&federated_search_id=d09aabae-4ea1-48c2-b74a-6e1cfaeece39
50.0,Habitación privada/Cerca Wanda,,,,,,,,,madrid,https://www.airbnb.es/rooms/807805273077727762?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691086064_xfDfZMC5SRCntidb&previous_page_section_name=1000&federated_search_id=b07146a4-1094-40b2-90f9-23ca39300c30
58.0,Habitación privada en vitoria,,,,,,,,,pais_vasco,https://www.airbnb.es/rooms/881805622413120972?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691085676_2%2BONufHg1bkCAybL&previous_page_section_name=1000&federated_search_id=56e8d30b-333b-4aaa-a513-bb629809d53d
62.0,Ático mágico entre el Montseny y la Costa Brava,,,,,,,,,cataluña,https://www.airbnb.es/rooms/34198714?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691085924_XiXu9INXjJzdEmgP&previous_page_section_name=1000&federated_search_id=c03c9b9c-a2ce-4fb0-9e27-34ce978f22e4
73.0,habitación privada en Albacete,,,,,,,,,castilla_la_mancha,https://www.airbnb.es/rooms/18920723?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1691086240_g5RjBDbOML8%2FsZ3u&previous_page_section_name=1000&federated_search_id=965f6993-bec5-49a6-a3af-420b949734a7
77.0,Habitación / Bedroom - 1,,,,,,,,,navarra,https://www.airbnb.es/rooms/19547612?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-13&source_impression_id=p3_1691085707_6RsbkfnkK6Cde8sJ&previous_page_section_name=1000&federated_search_id=135e53ea-3e99-47ea-87c0-062c82121ded
78.0,Habitación privada con wifi,,,,,,,,,extremadura,https://www.airbnb.es/rooms/802546962340172068?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086389_jcPbWG5BBfZ05YKM&previous_page_section_name=1000&federated_search_id=8c358d0e-bf63-476c-89f6-d9f65150da01
81.0,Habitación privada Valencia,,,,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/819039969348702184?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-31&check_out=2023-09-06&source_impression_id=p3_1691086148_UX7UpiJwYwfWQ5KM&previous_page_section_name=1000&federated_search_id=4c0865b2-4c53-4972-855b-c03ebb5e23fd
87.0,cañas habitación privada en el Palmar con aire,,,,,,,,,valencia,https://www.airbnb.es/rooms/720146541829459242?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691085380_XmJwPG%2FtcIsFj%2BiU&previous_page_section_name=1000&federated_search_id=1cc1cee3-ff85-4e09-8252-c22197462286
