comunidad,url
cataluña,https://www.airbnb.es/rooms/613077651474896818?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1691085937_pAOReftFpwYgBoQI&previous_page_section_name=1000&federated_search_id=623fae17-3a89-44c7-b82e-e76137125768
pais_vasco,https://www.airbnb.es/rooms/922305024997700746?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085652_O3%2BXEbBQDy19ApNt&previous_page_section_name=1000&federated_search_id=8ff9367c-5c5d-4896-ac59-bce6db020d4d
madrid,https://www.airbnb.es/rooms/12288034?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086069_AaFQP8pLnGURLEty&previous_page_section_name=1000&federated_search_id=b11f96f9-d72b-4e62-ab5c-9f7f56efde45
ceuta,https://www.airbnb.es/rooms/949147978976672250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086504_RIKZsuRC%2BD9lhlxz&previous_page_section_name=1000&federated_search_id=20bd90e7-e728-4f8c-a774-f678372af118
pais_vasco,https://www.airbnb.es/rooms/23624867?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-23&source_impression_id=p3_1691085628_xWVJPCgIjBmLuUwZ&previous_page_section_name=1000&federated_search_id=a351f612-6da7-49ad-a724-ca1169f0384e
madrid,https://www.airbnb.es/rooms/897309732133927735?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-11&source_impression_id=p3_1691086102_LrOB%2BzNB9uO1S8E6&previous_page_section_name=1000&federated_search_id=bc7f9b21-13bf-489c-85b4-148ad3231254
extremadura,https://www.airbnb.es/rooms/930430890258775530?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-11&source_impression_id=p3_1691086370_UnIZ87lkRstLoZHD&previous_page_section_name=1000&federated_search_id=254fdd0c-c9d1-4475-919c-1cf3811de0fc
madrid,https://www.airbnb.es/rooms/52735095?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691086056_6NTE7pzIeqLkEwY7&previous_page_section_name=1000&federated_search_id=7271927e-f2e8-462d-bf04-a7a8fb362da9
extremadura,https://www.airbnb.es/rooms/886255122751543322?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-12&source_impression_id=p3_1691086404_DJNu2Df4bOWeMePi&previous_page_section_name=1000&federated_search_id=602a9d1a-6239-48ab-848c-f2dd2ff5c2c2
melilla,https://www.airbnb.es/rooms/24655045?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-05&source_impression_id=p3_1691086594_XwZ%2FFvkVzWVfpkHw&previous_page_section_name=1000&federated_search_id=4e0efee2-1273-4cfe-8cda-85e9db70d91f
baleares,https://www.airbnb.es/rooms/588329324603947255?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-29&check_out=2023-10-04&source_impression_id=p3_1691086661_ca0C5Zrs%2BHL%2FIlm%2B&previous_page_section_name=1000&federated_search_id=61026d33-baa1-4adf-a1ad-bf8aa7846835
pais_vasco,https://www.airbnb.es/rooms/985201?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1691085664_ilT8Je8dUEwGZwH0&previous_page_section_name=1000&federated_search_id=0a63ffd2-16b3-46cf-b868-dc6e68a894be
baleares,https://www.airbnb.es/rooms/932003802117301052?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-30&check_out=2023-10-05&source_impression_id=p3_1691086678_8wemasxLXj2%2FR33B&previous_page_section_name=1000&federated_search_id=ae9f73bc-5549-44a7-98be-ce3291469e81
castilla_la_mancha,https://www.airbnb.es/rooms/913052136970245778?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691086217_hTIhDZJIQC4BN8UW&previous_page_section_name=1000&federated_search_id=260d87fd-2bb8-4790-ab75-cb4042e7eb45
murcia,https://www.airbnb.es/rooms/28200974?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086286_hDFp7IRGzO%2FeNtoW&previous_page_section_name=1000&federated_search_id=356d1efd-13b9-489c-96a9-033d9af97124
asturias,https://www.airbnb.es/rooms/625105427731209482?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1691085502_T%2F5kPZPhRDmzDZK4&previous_page_section_name=1000&federated_search_id=8cef3447-d6bb-482e-9cfa-cc193ebb9912
pais_vasco,https://www.airbnb.es/rooms/1560846?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085668_G7fojFxbRO2SAu7J&previous_page_section_name=1000&federated_search_id=d5701b0d-fb49-4000-a334-7f48c501ff1b
murcia,https://www.airbnb.es/rooms/913789436379604574?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086303_QrUjV3tkQkYAgNHw&previous_page_section_name=1000&federated_search_id=5fa4b39f-2c59-4f96-bb64-6da22f242341
la_rioja,https://www.airbnb.es/rooms/918202639739155933?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-09-01&source_impression_id=p3_1691085783_zqQBneCP4LAEKXku&previous_page_section_name=1000&federated_search_id=9615b049-1d79-4dd2-a8a5-7779e5bc11ac
la_rioja,https://www.airbnb.es/rooms/27701871?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085766_GN2uliGbYDV57hPG&previous_page_section_name=1000&federated_search_id=24d89555-bc4f-4054-a78b-936ec0fbb1de
baleares,https://www.airbnb.es/rooms/50971311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691086682_XYbfF6ruFQDCHzUH&previous_page_section_name=1000&federated_search_id=684ff2f9-4d23-4dd1-b22b-4cce5cd9b2a7
pais_vasco,https://www.airbnb.es/rooms/925442325024401725?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085648_XEhHM3fDlmWYVMyU&previous_page_section_name=1000&federated_search_id=46d55eef-d725-44e5-8aaf-90aabf328381
ceuta,https://www.airbnb.es/rooms/929182075182938238?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-25&source_impression_id=p3_1691086499_zWAdLR85Ao7msht8&previous_page_section_name=1000&federated_search_id=3f4508eb-959a-4b83-8f53-6b894315fc56
castilla_la_mancha,https://www.airbnb.es/rooms/874904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086252_Rf%2F2mKV9D43jcjWP&previous_page_section_name=1000&federated_search_id=10b3325f-93e8-4cac-a023-c47a93311067
