Unnamed: 0,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,valoracion,n_evaluaciones,precio,comunidad,url
6.0,Portiña 70 - A pocos pasos del Casco viejo,piso,3 viajeros,2 dormitorios,3 camas,"1,5 baños",1,evaluación,,extremadura,https://www.airbnb.es/rooms/930430890258775530?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-11&source_impression_id=p3_1691086370_UnIZ87lkRstLoZHD&previous_page_section_name=1000&federated_search_id=254fdd0c-c9d1-4475-919c-1cf3811de0fc
10.0,Apartamento en playa de Migjorn,apartamento con servicios,2 viajeros,1 dormitorio,2 camas,1 baño,"4,97",37,,baleares,https://www.airbnb.es/rooms/588329324603947255?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-29&check_out=2023-10-04&source_impression_id=p3_1691086661_ca0C5Zrs%2BHL%2FIlm%2B&previous_page_section_name=1000&federated_search_id=61026d33-baa1-4adf-a1ad-bf8aa7846835
18.0,Precioso apartamento Lardero - Riojaland Divina,piso,4 viajeros,2 dormitorios,3 camas,2 baños,"4,60",5,,la_rioja,https://www.airbnb.es/rooms/918202639739155933?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-09-01&source_impression_id=p3_1691085783_zqQBneCP4LAEKXku&previous_page_section_name=1000&federated_search_id=9615b049-1d79-4dd2-a8a5-7779e5bc11ac
23.0,"El Monte, un estudio acogedor en la Naturaleza",loft,2 viajeros,1 dormitorio,2 camas,1 baño,"4,61",64,,castilla_la_mancha,https://www.airbnb.es/rooms/874904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086252_Rf%2F2mKV9D43jcjWP&previous_page_section_name=1000&federated_search_id=10b3325f-93e8-4cac-a023-c47a93311067
30.0,Apartamento en Playa de Son Bou,apto,4 viajeros,2 dormitorios,3 camas,1 baño,"4,81",274,,baleares,https://www.airbnb.es/rooms/2411327?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-03&check_out=2023-10-08&source_impression_id=p3_1691086649_V7MeHLZrJxub9c5J&previous_page_section_name=1000&federated_search_id=b1308137-9ad7-46c4-affa-cddb405cec45
32.0,Duplex en La Vera: localización y confort,piso,5 viajeros,2 dormitorios,3 camas,2 baños,"4,96",23,,extremadura,https://www.airbnb.es/rooms/42323199?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691086394_l4mwA99cOQJM05dC&previous_page_section_name=1000&federated_search_id=3b698b64-ef89-4948-a5e9-328b47769f00
51.0,Casa de la Cabra,casa rural,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,79",33,,castilla_y_leon,https://www.airbnb.es/rooms/31398410?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-10&source_impression_id=p3_1691085985_VpJDgcxDxB2BvXMd&previous_page_section_name=1000&federated_search_id=b50051a8-7f1a-4116-b1ff-f525b30baff0
55.0,Apartamento F3 en alquiler de verano,piso,7 viajeros,2 dormitorios,5 camas,"1,5 baños",1,evaluación,,ceuta,https://www.airbnb.es/rooms/920331388899558204?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691086536_q0T6t%2BMjvtrdsWm3&previous_page_section_name=1000&federated_search_id=6c70dd28-a836-42c9-b0d4-58f6aeedb44d
57.0,Northeast Apartments,piso,3 viajeros,1 dormitorio,2 camas,1 baño,"5,0",21,,cantabria,https://www.airbnb.es/rooms/662981015591615984?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-07&source_impression_id=p3_1691085579_EKSpy3HXUrJvmvVv&previous_page_section_name=1000&federated_search_id=3bd3b8aa-cf5b-4847-aa79-dad04cc7fcef
60.0,Apartamento versátil,apartamento con servicios,4 viajeros,1 dormitorio,2 camas,1 baño,"4,95",38,,extremadura,https://www.airbnb.es/rooms/37086170?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086404_Fwbjix3Kli0iE%2FS%2F&previous_page_section_name=1000&federated_search_id=602a9d1a-6239-48ab-848c-f2dd2ff5c2c2
61.0,Coconut Beach Boutique Studio,piso,2 viajeros,Estudio,1 cama,1 baño,"4,86",175,,cataluña,https://www.airbnb.es/rooms/45519650?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-11&check_out=2023-10-16&source_impression_id=p3_1691085946_q2nYmDJZHVenCoVt&previous_page_section_name=1000&federated_search_id=d00cc8a9-0959-40b9-ad33-d52d372bd770
65.0,Casa rural agradable,casa rural,5 viajeros,3 dormitorios,3 camas,"1,5 baños","4,72",39,,cantabria,https://www.airbnb.es/rooms/602436463235603147?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1691085597_rh%2FT5KRlvifk0SKd&previous_page_section_name=1000&federated_search_id=38df2e61-481e-4b91-98de-a36ed2f715ac
66.0,Can Claret (ETV12604),loft,2 viajeros,1 dormitorio,1 cama,1 baño,"4,73",197,,baleares,https://www.airbnb.es/rooms/5743707?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-16&check_out=2023-10-22&source_impression_id=p3_1691086674_Xlou2nA7YY347i4G&previous_page_section_name=1000&federated_search_id=fe1f8555-4e6b-4b84-84b1-22add19ceba6
68.0,La Cabaña de María,cabaña,4 viajeros,2 dormitorios,5 camas,"1,5 baños","4,80",213,,cantabria,https://www.airbnb.es/rooms/16532073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-20&source_impression_id=p3_1691085588_tcXrcajj4WUtql%2FT&previous_page_section_name=1000&federated_search_id=6bdde363-927f-41b0-8b02-718ea1927f4a
70.0,Valparaíso. Agradables vistas del Campo Charro!,villa,3 viajeros,1 dormitorio,2 camas,1 baño,"5,0",55,,castilla_y_leon,https://www.airbnb.es/rooms/688137497986428988?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691086001_ayJncp6Joq62P5Kq&previous_page_section_name=1000&federated_search_id=2a157d41-5cbb-457b-9700-4b2e084134d3
75.0,Apart. Moderna primera línea a St Llorenç de Montgai.,piso,5 viajeros,2 dormitorios,4 camas,1 baño,"4,89",82,,cataluña,https://www.airbnb.es/rooms/23908730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1691085954_5wysnKblnAl5ysfw&previous_page_section_name=1000&federated_search_id=8827959c-79be-40a6-8127-3163a9b198c3
76.0,Casa canido playa cuco,vivienda,4 viajeros,2 dormitorios,3 camas,2 baños,"4,67",3,,galicia,https://www.airbnb.es/rooms/920088577057959627?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691085427_HPFm1LYGlpnPLlSQ&previous_page_section_name=1000&federated_search_id=43f0cc97-1db5-4878-899d-4b46768c551e
83.0,Loft de Ensueño con Piscina y jardin,Pilar,6 viajeros,2 dormitorios,2 camas,1 baño,"5,0",5,,la_rioja,https://www.airbnb.es/rooms/14959356?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691085766_ezkQ8k5XsK05VOvA&previous_page_section_name=1000&federated_search_id=24d89555-bc4f-4054-a78b-936ec0fbb1de
100.0,Apartamento Bellas Artes,piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,90",10,,murcia,https://www.airbnb.es/rooms/53836529?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1691086307_rqlwZ5zcXOkQhV%2FS&previous_page_section_name=1000&federated_search_id=e746460b-dc2b-4d18-889b-2ca3ee297bd8
108.0,Retiro de cabaña en el paraíso salvaje,casa rural,3 viajeros,1 dormitorio,2 camas,1 baño,"5,0",50,,asturias,https://www.airbnb.es/rooms/44200277?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-17&source_impression_id=p3_1691085522_QrXNWgHnVuciUlzc&previous_page_section_name=1000&federated_search_id=b9dc1286-0fd6-4055-8c69-8bcdc478d9e6
115.0,Suite-Apartament Hortaleza,piso,4 viajeros,1 dormitorio,2 camas,1 baño,"4,71",272,,madrid,https://www.airbnb.es/rooms/36204716?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-08&check_out=2023-08-13&source_impression_id=p3_1691086090_wo%2BS6OLCivQdm%2F%2Bl&previous_page_section_name=1000&federated_search_id=6b4b3f9c-2140-42ff-b81f-afe18f16e705
144.0,Estudio independiente. Completo con cocina y baño.,piso,2 viajeros,1 dormitorio,1 cama,"1,5 baños","4,74",132,,comunidad_valenciana,https://www.airbnb.es/rooms/12791974?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-21&source_impression_id=p3_1691086112_QVT5AB%2Fc55qN7Yrm&previous_page_section_name=1000&federated_search_id=aa0bda1a-f027-4b61-b49a-766dd9d1ad32
151.0,"Agradable casa, en un entorno privilegiado",vivienda,8 viajeros,5 dormitorios,8 camas,1 baño,"4,86",7,,navarra,https://www.airbnb.es/rooms/665137401571245554?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691085699_xzvAhQJLedMUYG8Q&previous_page_section_name=1000&federated_search_id=9b7f2438-a9ca-42d1-9efe-07447cbb6959
155.0,Casa Nueva Playa Areabrava Hío - Cangas (Galicia),vivienda,6 viajeros,2 dormitorios,4 camas,1 baño,"4,95",37,,galicia,https://www.airbnb.es/rooms/20261167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-30&check_out=2023-10-06&source_impression_id=p3_1691085407_0EZWpNah8ulqXfR%2B&previous_page_section_name=1000&federated_search_id=358e4285-0810-480c-90e8-64e20f336a3c
168.0,Casita de madera independiente en la montaña,cabaña,2 viajeros,Estudio,1 cama,1 baño,"4,88",103,,castilla_la_mancha,https://www.airbnb.es/rooms/34602008?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086186_kqzD7C%2BgMOsEzHvI&previous_page_section_name=1000&federated_search_id=f7c6e6d5-8d40-4b0b-9666-c7a42ffb97ee
177.0,"Casa rural entre viñedos ""La Gatera""",suite con entrada independiente,4 viajeros,1 dormitorio,2 camas,1 baño,"4,90",79,,cataluña,https://www.airbnb.es/rooms/43513242?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1691085937_ovDf15Bll1mldezH&previous_page_section_name=1000&federated_search_id=623fae17-3a89-44c7-b82e-e76137125768
186.0,Casa en la Rioja - Quintana,casa rural,8 viajeros,3 dormitorios,6 camas,1 baño,"4,87",62,,la_rioja,https://www.airbnb.es/rooms/43753857?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085770_gBBEKP4dLbRJRe5G&previous_page_section_name=1000&federated_search_id=8b67a557-d522-46fb-b758-f19182693d19
200.0,Apartamento Junto Estación Tren y Bus de Córdoba,piso,2 viajeros,1 dormitorio,1 cama,1 baño,"4,79",110,,andalucia,https://www.airbnb.es/rooms/21877817?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086477_0kIgvK8plM7TI53d&previous_page_section_name=1000&federated_search_id=8ba10d56-a89b-4437-85ab-75751c8b3070
201.0,Aplica un capítulo fnidq sebta,piso,4 viajeros,2 dormitorios,2 camas,1 baño,1,evaluación,,ceuta,https://www.airbnb.es/rooms/640427012390922253?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086504_WVB1K9oKwhEY2bRm&previous_page_section_name=1000&federated_search_id=20bd90e7-e728-4f8c-a774-f678372af118
203.0,"LOFT MEJOR UBICACIÓN! BARRIO SALAMANCA, GOYA,RETIRO",loft,4 viajeros,1 dormitorio,2 camas,1 baño,"4,54",263,,madrid,https://www.airbnb.es/rooms/26775195?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086086_yqU6KtBt0A13IrdO&previous_page_section_name=1000&federated_search_id=a3c636cc-6311-40c1-a630-89e9316f65dc
207.0,"Chorima, Xanelas do Monte",Xanelas,2 viajeros,1 dormitorio,1 cama,1 baño,"4,77",13,,galicia,https://www.airbnb.es/rooms/678733107368023466?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085431_RS55rrackcaX0m2R&previous_page_section_name=1000&federated_search_id=e9600b70-d00b-4c0a-be3e-31f2ccd10f32
211.0,Loft totalmente equipado en las montañas,loft,2 viajeros,1 dormitorio,1 cama,1 baño,"4,77",112,,cataluña,https://www.airbnb.es/rooms/29018829?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691085950_XXPBUN3qFRNhQYUb&previous_page_section_name=1000&federated_search_id=a7c0d776-7f1e-4035-b772-e8c455d40d1c
